Date,Demand
"Jan 20, 2006",39668
"Jan 27, 2006",40440
"Feb 03, 2006",39605
"Feb 10, 2006",42039
"Feb 17, 2006",42176
"Feb 24, 2006",41777
"Mar 03, 2006",39759
"Mar 10, 2006",41793
"Mar 17, 2006",41241
"Mar 24, 2006",41208
"Mar 31, 2006",41064
"Apr 07, 2006",41475
"Apr 14, 2006",40829
"Apr 21, 2006",41467
"Apr 28, 2006",40220
"May 05, 2006",42401
"May 12, 2006",41906
"May 19, 2006",41952
"May 26, 2006",42545
"Jun 02, 2006",41206
"Jun 09, 2006",41402
"Jun 16, 2006",41942
"Jun 23, 2006",41754
"Jun 30, 2006",41762
"Jul 07, 2006",41126
"Jul 14, 2006",40891
"Jul 21, 2006",41818
"Jul 28, 2006",42225
"Aug 04, 2006",42565
"Aug 11, 2006",42063
"Aug 18, 2006",42907
"Aug 25, 2006",42588
"Sep 01, 2006",42347
"Sep 08, 2006",41906
"Sep 15, 2006",41520
"Sep 22, 2006",41410
"Sep 29, 2006",40456
"Oct 06, 2006",41876
"Oct 13, 2006",42882
"Oct 20, 2006",43004
"Oct 27, 2006",42968
"Nov 03, 2006",42152
"Nov 10, 2006",42633
"Nov 17, 2006",40662
"Nov 24, 2006",42315
"Dec 01, 2006",42234
"Dec 08, 2006",42698
"Dec 15, 2006",41836
"Dec 22, 2006",41563
"Dec 29, 2006",40736
"Jan 05, 2007",39124
"Jan 12, 2007",40401
"Jan 19, 2007",40738
"Jan 26, 2007",41738
"Feb 02, 2007",43275
"Feb 09, 2007",43631
"Feb 16, 2007",44073
"Feb 23, 2007",43396
"Mar 02, 2007",42546
"Mar 09, 2007",42005
"Mar 16, 2007",42688
"Mar 23, 2007",41614
"Mar 30, 2007",41494
"Apr 06, 2007",41646
"Apr 13, 2007",41650
"Apr 20, 2007",42152
"Apr 27, 2007",41591
"May 04, 2007",41590
"May 11, 2007",41662
"May 18, 2007",41571
"May 25, 2007",42469
"Jun 01, 2007",41945
"Jun 08, 2007",42123
"Jun 15, 2007",41035
"Jun 22, 2007",42173
"Jun 29, 2007",41231
"Jul 06, 2007",42138
"Jul 13, 2007",42016
"Jul 20, 2007",42012
"Jul 27, 2007",41800
"Aug 03, 2007",42181
"Aug 10, 2007",42278
"Aug 17, 2007",42610
"Aug 24, 2007",42519
"Aug 31, 2007",42845
"Sep 07, 2007",40898
"Sep 14, 2007",41118
"Sep 21, 2007",40368
"Sep 28, 2007",41280
"Oct 05, 2007",41583
"Oct 12, 2007",42047
"Oct 19, 2007",41321
"Oct 26, 2007",40825
"Nov 02, 2007",41321
"Nov 09, 2007",41254
"Nov 16, 2007",42701
"Nov 23, 2007",41725
"Nov 30, 2007",41591
"Dec 07, 2007",41955
"Dec 14, 2007",42099
"Dec 21, 2007",43070
"Dec 28, 2007",42697
"Jan 04, 2008",42576
"Jan 11, 2008",40938
"Jan 18, 2008",41499
"Jan 25, 2008",41571
"Feb 01, 2008",40979
"Feb 08, 2008",40236
"Feb 15, 2008",42622
"Feb 22, 2008",40814
"Feb 29, 2008",40765
"Mar 07, 2008",40163
"Mar 14, 2008",40328
"Mar 21, 2008",40970
"Mar 28, 2008",40804
"Apr 04, 2008",41539
"Apr 11, 2008",41182
"Apr 18, 2008",42233
"Apr 25, 2008",40483
"May 02, 2008",40992
"May 09, 2008",40548
"May 16, 2008",40694
"May 23, 2008",41614
"May 30, 2008",40306
"Jun 06, 2008",40486
"Jun 13, 2008",40911
"Jun 20, 2008",40158
"Jun 27, 2008",41180
"Jul 04, 2008",40640
"Jul 11, 2008",40396
"Jul 18, 2008",39806
"Jul 25, 2008",40409
"Aug 01, 2008",40430
"Aug 08, 2008",40744
"Aug 15, 2008",40212
"Aug 22, 2008",40265
"Aug 29, 2008",41109
"Sep 05, 2008",39569
"Sep 12, 2008",38097
"Sep 19, 2008",37567
"Sep 26, 2008",36929
"Oct 03, 2008",36681
"Oct 10, 2008",37729
"Oct 17, 2008",38385
"Oct 24, 2008",38226
"Oct 31, 2008",38433
"Nov 07, 2008",38009
"Nov 14, 2008",37944
"Nov 21, 2008",38965
"Nov 28, 2008",39212
"Dec 05, 2008",38298
"Dec 12, 2008",40385
"Dec 19, 2008",40382
"Dec 26, 2008",40422
"Jan 02, 2009",39672
"Jan 09, 2009",37280
"Jan 16, 2009",38195
"Jan 23, 2009",40303
"Jan 30, 2009",40612
"Feb 06, 2009",39324
"Feb 13, 2009",39380
"Feb 20, 2009",38466
"Feb 27, 2009",39154
"Mar 06, 2009",37783
"Mar 13, 2009",37575
"Mar 20, 2009",38380
"Mar 27, 2009",37181
"Apr 03, 2009",37732
"Apr 10, 2009",36477
"Apr 17, 2009",36320
"Apr 24, 2009",36858
"May 01, 2009",36037
"May 08, 2009",36336
"May 15, 2009",36807
"May 22, 2009",37158
"May 29, 2009",35358
"Jun 05, 2009",37450
"Jun 12, 2009",37927
"Jun 19, 2009",35825
"Jun 26, 2009",36338
"Jul 03, 2009",36989
"Jul 10, 2009",37691
"Jul 17, 2009",37835
"Jul 24, 2009",37427
"Jul 31, 2009",38574
"Aug 07, 2009",37404
"Aug 14, 2009",38558
"Aug 21, 2009",38945
"Aug 28, 2009",39426
"Sep 04, 2009",39044
"Sep 11, 2009",38208
"Sep 18, 2009",36952
"Sep 25, 2009",37818
"Oct 02, 2009",37466
"Oct 09, 2009",37872
"Oct 16, 2009",37338
"Oct 23, 2009",37047
"Oct 30, 2009",38289
"Nov 06, 2009",36631
"Nov 13, 2009",37012
"Nov 20, 2009",37640
"Nov 27, 2009",36646
"Dec 04, 2009",36697
"Dec 11, 2009",39144
"Dec 18, 2009",38753
"Dec 25, 2009",38124
"Jan 01, 2010",37511
"Jan 08, 2010",37275
"Jan 15, 2010",37471
"Jan 22, 2010",37768
"Jan 29, 2010",37484
"Feb 05, 2010",38524
"Feb 12, 2010",38185
"Feb 19, 2010",38567
"Feb 26, 2010",39236
"Mar 05, 2010",39306
"Mar 12, 2010",37665
"Mar 19, 2010",38672
"Mar 26, 2010",38041
"Apr 02, 2010",37815
"Apr 09, 2010",38024
"Apr 16, 2010",36969
"Apr 23, 2010",36856
"Apr 30, 2010",38934
"May 07, 2010",38640
"May 14, 2010",39207
"May 21, 2010",39427
"May 28, 2010",40042
"Jun 04, 2010",38632
"Jun 11, 2010",38271
"Jun 18, 2010",38996
"Jun 25, 2010",37934
"Jul 02, 2010",39199
"Jul 09, 2010",37448
"Jul 16, 2010",38562
"Jul 23, 2010",39284
"Jul 30, 2010",38605
"Aug 06, 2010",38944
"Aug 13, 2010",38830
"Aug 20, 2010",38585
"Aug 27, 2010",39181
"Sep 03, 2010",38894
"Sep 10, 2010",38432
"Sep 17, 2010",38196
"Sep 24, 2010",39509
"Oct 01, 2010",37568
"Oct 08, 2010",37427
"Oct 15, 2010",37364
"Oct 22, 2010",38732
"Oct 29, 2010",38535
"Nov 05, 2010",39217
"Nov 12, 2010",37838
"Nov 19, 2010",38019
"Nov 26, 2010",36908
"Dec 03, 2010",39871
"Dec 10, 2010",40419
"Dec 17, 2010",39960
"Dec 24, 2010",41498
"Dec 31, 2010",38118
"Jan 07, 2011",37915
"Jan 14, 2011",38225
"Jan 21, 2011",38069
"Jan 28, 2011",37574
"Feb 04, 2011",38315
"Feb 11, 2011",39586
"Feb 18, 2011",39328
"Feb 25, 2011",37916
"Mar 04, 2011",39338
"Mar 11, 2011",38223
"Mar 18, 2011",38620
"Mar 25, 2011",37210
"Apr 01, 2011",38367
"Apr 08, 2011",38516
"Apr 15, 2011",38547
"Apr 22, 2011",39176
"Apr 29, 2011",36664
"May 06, 2011",36328
"May 13, 2011",37030
"May 20, 2011",37831
"May 27, 2011",38268
"Jun 03, 2011",38445
"Jun 10, 2011",37612
"Jun 17, 2011",38074
"Jun 24, 2011",37753
"Jul 01, 2011",38463
"Jul 08, 2011",37025
"Jul 15, 2011",37707
"Jul 22, 2011",36851
"Jul 29, 2011",39282
"Aug 05, 2011",40586
"Aug 12, 2011",38828
"Aug 19, 2011",38485
"Aug 26, 2011",39124
"Sep 02, 2011",38772
"Sep 09, 2011",37309
"Sep 16, 2011",38048
"Sep 23, 2011",38167
"Sep 30, 2011",38202
"Oct 07, 2011",37473
"Oct 14, 2011",36657
"Oct 21, 2011",37768
"Oct 28, 2011",37281
"Nov 04, 2011",40073
"Nov 11, 2011",38622
"Nov 18, 2011",37170
"Nov 25, 2011",35892
"Dec 02, 2011",36616
"Dec 09, 2011",36818
"Dec 16, 2011",38648
"Dec 23, 2011",36997
"Dec 30, 2011",36047
"Jan 06, 2012",35622
"Jan 13, 2012",35803
"Jan 20, 2012",38481
"Jan 27, 2012",35408
"Feb 03, 2012",35236
"Feb 10, 2012",37310
"Feb 17, 2012",36474
"Feb 24, 2012",36512
"Mar 02, 2012",36355
"Mar 09, 2012",37142
"Mar 16, 2012",35347
"Mar 23, 2012",36408
"Mar 30, 2012",36372
"Apr 06, 2012",38009
"Apr 13, 2012",37726
"Apr 20, 2012",37513
"Apr 27, 2012",37089
"May 04, 2012",37206
"May 11, 2012",38026
"May 18, 2012",37366
"May 25, 2012",36640
"Jun 01, 2012",36451
"Jun 08, 2012",38810
"Jun 15, 2012",37198
"Jun 22, 2012",38128
"Jun 29, 2012",39203
"Jul 06, 2012",37069
"Jul 13, 2012",37192
"Jul 20, 2012",38153
"Jul 27, 2012",38300
"Aug 03, 2012",37891
"Aug 10, 2012",40051
"Aug 17, 2012",37493
"Aug 24, 2012",38233
"Aug 31, 2012",37883
"Sep 07, 2012",35999
"Sep 14, 2012",36668
"Sep 21, 2012",36630
"Sep 28, 2012",37440
"Oct 05, 2012",37437
"Oct 12, 2012",39039
"Oct 19, 2012",38272
"Oct 26, 2012",36651
"Nov 02, 2012",36742
"Nov 09, 2012",38691
"Nov 16, 2012",38873
"Nov 23, 2012",37938
"Nov 30, 2012",36675
"Dec 07, 2012",37650
"Dec 14, 2012",39910
"Dec 21, 2012",37713
"Dec 28, 2012",37788
"Jan 04, 2013",35510
"Jan 11, 2013",35908
"Jan 18, 2013",37289
"Jan 25, 2013",37362
"Feb 01, 2013",36103
"Feb 08, 2013",38096
"Feb 15, 2013",36824
"Feb 22, 2013",37360
"Mar 01, 2013",36593
"Mar 08, 2013",37194
"Mar 15, 2013",35530
"Mar 22, 2013",37746
"Mar 29, 2013",37934
"Apr 05, 2013",36242
"Apr 12, 2013",36922
"Apr 19, 2013",37220
